Reporter_Ion	NonZeroCount_Top80Pct	Median_Top80Pct	InterQuartileRange_Top80Pct	LowerWhisker_Top80Pct	UpperWhisker_Top80Pct	NumberOfOutliers_Top80Pct
Ion_126.128 	41751                	78126          	108135                     	3393                 	307342               	3038                     
Ion_127.125 	41266                	65509          	87548                      	3249                 	250364               	2974                     
Ion_127.131 	7989                 	3218           	4533                       	0                    	12864                	739                      
Ion_128.128 	8733                 	3024           	4093                       	0                    	11678                	754                      
Ion_128.134 	9949                 	4041           	4544                       	0                    	13609                	887                      
Ion_129.131 	42338                	110295         	167865                     	827                  	469702               	3336                     
Ion_129.138 	42587                	118816         	178492                     	3104                 	499984               	3294                     
Ion_130.135 	42082                	77003          	115486                     	198                  	324025               	3325                     
Ion_130.141 	42539                	114203         	171162                     	2109                 	480143               	3347                     
Ion_131.138 	42578                	111203         	162704                     	314                  	457631               	3240                     
Ion_131.144 	41975                	68962          	98668                      	71                   	279680               	3254                     
Ion_132.142 	42666                	126146         	185614                     	46                   	521815               	3249                     
Ion_132.148 	42809                	133652         	200067                     	464                  	560794               	3323                     
Ion_133.145 	42446                	93505          	141603                     	441                  	396827               	3338                     
Ion_133.151 	42699                	135792         	207518                     	1022                 	580082               	3420                     
Ion_134.148 	42717                	133418         	198516                     	298                  	557100               	3310                     

Reporter_Ion	NonZeroCount         	Median         	InterQuartileRange         	LowerWhisker         	UpperWhisker         	NumberOfOutliers         
Ion_126.128 	49938                	69480          	101009                     	2840                 	284227               	3658                     
Ion_127.125 	49185                	58749          	82223                      	2767                 	233048               	3563                     
Ion_127.131 	9211                 	3186           	4464                       	0                    	12678                	844                      
Ion_128.128 	10083                	3000           	4045                       	0                    	11558                	850                      
Ion_128.134 	11013                	4053           	4471                       	0                    	13463                	969                      
Ion_129.131 	50980                	98482          	156516                     	827                  	433514               	4002                     
Ion_129.138 	51411                	105101         	164438                     	2470                 	456046               	4004                     
Ion_130.135 	50480                	68491          	107434                     	198                  	298590               	3955                     
Ion_130.141 	51359                	101507         	160073                     	758                  	443593               	3999                     
Ion_131.138 	51397                	98290          	151204                     	137                  	420645               	3870                     
Ion_131.144 	50280                	61762          	92581                      	71                   	259574               	3884                     
Ion_132.142 	51578                	112296         	174437                     	46                   	484031               	3870                     
Ion_132.148 	51870                	117902         	185316                     	464                  	513371               	3999                     
Ion_133.145 	51145                	82975          	132142                     	180                  	365954               	3984                     
Ion_133.151 	51609                	120562         	193196                     	1022                 	533774               	4091                     
Ion_134.148 	51713                	118097         	184565                     	298                  	511501               	3979                     
