Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
706504	7	659.8361	23	26	1020	251	0	1	99	23	2.1583E+07	1.533	35	2.0383E+09	1.4312E+07	1.4083E+07	3.44E+06	86	4.3365E+08	33	22.5	0.4107	0.3378	8	0.8158
706504	7	659.8361	23	33	1020	251	0	1	99	23	2.1583E+07	1.533	35	2.0383E+09	1.4312E+07	1.4083E+07	3.44E+06	86	4.3365E+08	33	22.5	0.4107	0.3378	8	0.9366
706504	7	659.8361	23	34	1020	251	0	1	99	23	2.1583E+07	1.533	35	2.0383E+09	1.4312E+07	1.4083E+07	3.44E+06	86	4.3365E+08	33	22.5	0.4107	0.3378	8	0.8158
706504	7	659.8361	23	35	1020	251	0	1	99	23	2.1583E+07	1.533	35	2.0383E+09	1.4312E+07	1.4083E+07	3.44E+06	86	4.3365E+08	33	22.5	0.4107	0.3378	8	0.8158
706504	8	432.8998	36	37	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.4713E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	0.9997
706504	8	432.8998	36	40	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.4713E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	0.9997
706504	8	432.8998	36	41	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.4713E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	0.9997
706504	8	432.8998	36	42	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.4713E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	0.9997
706504	9	433.902	36	38	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.6134E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	9	433.902	36	43	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.6134E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	9	433.902	36	44	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.6134E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	9	433.902	36	45	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.6134E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	10	648.846	36	39	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	8.8732E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8724
706504	10	648.846	36	46	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	8.8732E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8724
706504	10	648.846	36	47	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	8.8732E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8724
706504	10	648.846	36	48	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	8.8732E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8724
706504	11	649.8489	36	49	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.6348E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	11	649.8489	36	51	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.6348E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	11	649.8489	36	52	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.6348E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	11	649.8489	36	53	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.6348E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	12	583.2986	36	50	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.9185E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	1
706504	12	583.2986	36	54	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.9185E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	1
706504	12	583.2986	36	55	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.9185E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	1
706504	12	583.2986	36	56	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.9185E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	1
706504	13	432.8997	57	58	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.6909E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	13	432.8997	57	61	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.6909E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	13	432.8997	57	62	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.6909E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	13	432.8997	57	63	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.6909E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	14	433.9021	57	59	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.8586E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	14	433.9021	57	64	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.8586E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	14	433.9021	57	65	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.8586E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	14	433.9021	57	66	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.8586E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	15	648.8459	57	60	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	9.217E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8862
706504	15	648.8459	57	67	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	9.217E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8862
706504	15	648.8459	57	68	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	9.217E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8862
706504	15	648.8459	57	69	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	9.217E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8862
706504	16	583.2989	57	70	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.8564E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	0.9629
706504	16	583.2989	57	72	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.8564E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	0.9629
706504	16	583.2989	57	73	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.8564E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	0.9629
706504	16	583.2989	57	74	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.8564E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	0.9629
706504	17	649.8489	57	71	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.652E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	17	649.8489	57	75	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.652E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	17	649.8489	57	76	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.652E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	17	649.8489	57	77	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.652E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	18	432.8997	78	79	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.4793E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	0.9996
706504	18	432.8997	78	82	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.4793E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	0.9996
706504	18	432.8997	78	83	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.4793E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	0.9996
706504	18	432.8997	78	84	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.4793E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	0.9996
706504	19	433.9022	78	80	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.8061E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	0.9993
706504	19	433.9022	78	85	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.8061E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	0.9993
706504	19	433.9022	78	86	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.8061E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	0.9993
706504	19	433.9022	78	87	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.8061E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	0.9993
706504	20	648.846	78	81	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	8.8801E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8733
706504	20	648.846	78	88	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	8.8801E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8733
706504	20	648.846	78	89	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	8.8801E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8733
706504	20	648.846	78	90	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	8.8801E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8733
706504	21	583.2989	78	91	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.9866E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	0.9779
706504	21	583.2989	78	93	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.9866E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	1
706504	21	583.2989	78	94	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.9866E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	0.9779
706504	21	583.2989	78	95	23	-1	0	1	120	23	3.7751E+07	1.505	35	4.3289E+09	2.9866E+07	2.5082E+07	4.63E+06	86	8.7777E+08	44	27.1	0.5694	0.3496	8	0.9779
706504	22	649.8492	78	92	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.8532E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	22	649.8492	78	96	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.8532E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	22	649.8492	78	97	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.8532E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	22	649.8492	78	98	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	2.8532E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	1
706504	23	432.8999	99	100	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.8188E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	23	432.8999	99	103	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.8188E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	23	432.8999	99	104	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.8188E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	23	432.8999	99	105	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.8188E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	24	433.9022	99	101	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	2.0211E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
