Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
0	1	0.0059	1	5.2047E+07	7.2142E+06	98.5118	900.2	890	890	HMS
0	2	0.0169	2	287460	70095	87.0041	10.96	6	14	HCD-HMSn
0	3	0.0181	2	947024	628085	72.9372	65.14	4	10	HCD-HMSn
0	4	0.0199	2	276180	99996	113.9637	47.5	8	25	HCD-HMSn
0	5	0.0215	2	204350	65578	88.0042	27.42	6	14	HCD-HMSn
0	6	0.0236	2	997827	217983	128.9507	55.1	14	44	HCD-HMSn
0	7	0.0261	2	54077	32613	121.9661	32.21	3	10	HCD-HMSn
0	8	0.0285	2	2.979E+06	870135	113.9636	216.5	27	71	HCD-HMSn
0	9	0.0310	2	114016	16688	85.0068	10.45	10	34	HCD-HMSn
0	10	0.0330	1	8.3894E+07	1.3891E+07	98.5117	1576	972	972	HMS
0	11	0.0418	2	222230	86345	74.9376	63.96	9	23	HCD-HMSn
0	12	0.0443	2	164452	35443	125.961	13.38	7	11	HCD-HMSn
0	13	0.0468	2	804645	258674	113.9636	113.6	17	49	HCD-HMSn
0	14	0.0492	2	99941	24582	89.0018	22.27	8	28	HCD-HMSn
0	15	0.0516	2	721347	273824	113.9636	67.59	11	38	HCD-HMSn
0	16	0.0528	2	358703	66820	87.0042	4.987	5	11	HCD-HMSn
0	17	0.0550	2	278618	82277	72.9372	27.96	8	21	HCD-HMSn
0	18	0.0562	2	521445	166976	56.9424	15.91	4	13	HCD-HMSn
0	19	0.0582	1	1.0106E+08	1.8346E+07	98.5116	1814	942	942	HMS
0	20	0.0670	2	166776	75175	70.9418	73.05	6	17	HCD-HMSn
0	21	0.0695	2	373799	225956	118.0862	163.9	8	22	HCD-HMSn
0	22	0.0720	2	334026	155912	125.0025	109.4	10	32	HCD-HMSn
0	23	0.0745	2	332294	196872	118.0862	92.82	7	19	HCD-HMSn
0	24	0.0769	2	106718	29578	72.9372	11.64	4	11	HCD-HMSn
0	25	0.0794	2	87626	16237	111.9684	16.2	8	16	HCD-HMSn
0	26	0.0819	2	159396	55284	171.1491	35.89	7	17	HCD-HMSn
0	27	0.0844	2	73064	25702	84.9597	21.83	5	18	HCD-HMSn
0	28	0.0864	1	7.4786E+07	1.3132E+07	98.5117	1526	968	968	HMS
0	29	0.0952	2	85443	23523	72.9372	13.07	5	13	HCD-HMSn
0	30	0.0977	2	158011	39333	72.9371	36.66	9	31	HCD-HMSn
0	31	0.1001	2	14204	6481.9	123.9642	6.822	1	9	HCD-HMSn
0	32	0.1026	2	71079	16403	140.0681	15.02	8	14	HCD-HMSn
0	33	0.1051	2	584595	229321	88.0042	73.42	11	47	HCD-HMSn
0	34	0.1076	2	109645	41563	84.9597	35.62	4	17	HCD-HMSn
0	35	0.1088	2	340161	106294	56.9424	9.42	4	10	HCD-HMSn
0	36	0.1112	2	9184.4	1727.6	72.937	1.727	0	8	HCD-HMSn
0	37	0.1133	1	5.9506E+07	1.0294E+07	98.5117	1319	891	891	HMS
0	38	0.1220	2	191871	83898	88.0757	24.98	5	19	HCD-HMSn
0	39	0.1245	2	28413	10282	121.9661	10.74	2	12	HCD-HMSn
0	40	0.1270	2	67220	30473	156.042	27.54	6	22	HCD-HMSn
0	41	0.1295	2	95416	45030	148.9769	26.37	6	15	HCD-HMSn
0	42	0.1320	2	124893	102142	170.0963	98.09	3	13	HCD-HMSn
0	43	0.1345	2	15120	2328.9	61.8989	2.497	3	10	HCD-HMSn
0	44	0.1370	2	83509	28607	71.0855	19.99	4	9	HCD-HMSn
0	45	0.1395	2	28854	21114	67.9349	15.82	2	6	HCD-HMSn
0	46	0.1415	1	5.7585E+07	9.4956E+06	98.5117	1212	919	919	HMS
0	47	0.1503	2	19875	7426.5	116.9721	7.045	3	9	HCD-HMSn
0	48	0.1528	2	160909	62804	56.965	27.24	5	20	HCD-HMSn
0	49	0.1553	2	118860	11867	163.9402	6.99	12	32	HCD-HMSn
0	50	0.1577	2	171072	83362	71.0291	33.89	5	25	HCD-HMSn
0	51	0.1602	2	112089	72207	261.1846	61.27	4	19	HCD-HMSn
0	52	0.1627	2	37480	21726	149.0233	18.97	2	10	HCD-HMSn
0	53	0.1652	2	23189	2946.9	132.9758	2.524	3	15	HCD-HMSn
0	54	0.1677	2	47920	18122	97.0076	15.07	6	16	HCD-HMSn
0	55	0.1697	1	5.357E+07	8.5616E+06	113.9634	1148	957	957	HMS
0	56	0.1785	2	108762	68786	97.0076	67.48	4	16	HCD-HMSn
0	57	0.1809	2	93295	77705	122.0964	76.45	2	12	HCD-HMSn
0	58	0.1834	2	139678	14692	88.0216	9.097	13	36	HCD-HMSn
0	59	0.1855	1	5.4477E+07	8.5706E+06	98.5118	1122	936	936	HMS
0	60	0.1942	2	24156	5758.7	128.9504	4.76	3	10	HCD-HMSn
0	61	0.1967	2	148599	22854	113.9636	11.09	11	39	HCD-HMSn
0	62	0.1992	2	7900.1	1923.7	120.0556	1.802	0	6	HCD-HMSn
0	63	0.2017	2	88388	59819	235.169	40.4	3	11	HCD-HMSn
0	64	0.2042	2	30623	17592	149.0231	14.35	2	8	HCD-HMSn
0	65	0.2061	2	131437	38545	88.0041	14.02	6	12	HCD-HMSn
0	66	0.2081	1	5.1973E+07	8.3893E+06	113.9635	1105	916	916	HMS
0	67	0.2168	2	23652	2055.2	114.9656	1.932	0	17	HCD-HMSn
0	68	0.2193	2	32101	20261	149.0233	19.85	1	12	HCD-HMSn
0	69	0.2219	2	43969	10846	200.9719	8.086	4	13	HCD-HMSn
0	70	0.2239	1	5.3488E+07	8.347E+06	98.5118	1117	962	962	HMS
0	71	0.2344	1	4.7884E+07	7.7773E+06	98.5118	1082	915	915	HMS
0	72	0.2431	2	90263	75424	122.0964	70.05	4	10	HCD-HMSn
0	73	0.2456	2	35539	13304	84.0557	8.983	3	11	HCD-HMSn
0	74	0.2476	1	4.8795E+07	7.7013E+06	98.5118	989.8	897	897	HMS
0	75	0.2581	1	4.8555E+07	7.9168E+06	98.5118	1117	903	903	HMS
0	76	0.2669	2	242556	51255	87.004	9.138	6	16	HCD-HMSn
0	77	0.2691	1	5.0352E+07	7.789E+06	98.5118	1022	919	919	HMS
0	78	0.2796	1	4.8627E+07	7.8009E+06	98.5118	1101	956	956	HMS
0	79	0.2883	2	14993	6611	116.9721	6.92	2	7	HCD-HMSn
0	80	0.2906	1	4.88E+07	7.5836E+06	98.5118	975.2	907	907	HMS
0	81	0.3011	1	4.5915E+07	7.1765E+06	98.5118	955.1	884	884	HMS
0	82	0.3115	1	4.611E+07	7.1351E+06	113.9635	1029	923	923	HMS
0	83	0.3203	2	53469	23538	88.0216	21.92	3	9	HCD-HMSn
0	84	0.3225	1	4.7026E+07	7.2467E+06	98.5118	1003	930	930	HMS
0	85	0.3330	1	4.365E+07	6.8763E+06	98.5118	988.2	902	902	HMS
0	86	0.3435	1	4.3914E+07	6.7486E+06	98.5118	928.1	867	867	HMS
0	87	0.3539	1	4.5157E+07	6.9555E+06	98.5118	915.8	893	893	HMS
0	88	0.3644	1	4.2021E+07	6.7856E+06	98.5118	997.7	873	873	HMS
0	89	0.3748	1	4.4544E+07	6.655E+06	98.5118	930.1	916	916	HMS
0	90	0.3853	1	4.3157E+07	6.7193E+06	98.5118	882	842	842	HMS
0	91	0.3958	1	4.2397E+07	6.6907E+06	98.5118	954.1	854	854	HMS
0	92	0.4062	1	4.6744E+07	6.7433E+06	98.5118	934.3	955	955	HMS
0	93	0.4167	1	4.1653E+07	6.1725E+06	98.5118	887	905	905	HMS
0	94	0.4255	2	14119	5663.7	200.2376	5.814	2	8	HCD-HMSn
0	95	0.4280	2	17480	3762.8	94.065	4.203	2	15	HCD-HMSn
0	96	0.4300	1	4.0226E+07	6.1536E+06	98.5118	910.4	873	873	HMS
0	97	0.4404	1	4.1616E+07	6.3382E+06	98.5118	918.1	881	881	HMS
