Scan	Intensity
5797	5.5
5808	9975.5
5819	71351.20313
5830	89824.10156
5841	4.300000191
5852	0.200000003
5863	93880.89844
5874	1794.599976
5885	49793.69922
5896	7162.700195
5907	11605.90039
5918	33827.5
5929	20372.80078
5940	38596.30078
5951	133336.0938
5962	59994.5
5973	6532
5984	27513.69922
5995	42432.60156
6006	24814.69922
6017	81935.60156
6028	37515.5
6039	39286.10156
6050	79187.60156
6061	166891.7969
6072	111273.8984
6083	60024.89844
6094	133244.5
6105	224813.2031
6116	263174.5938
6127	271439.1875
6138	124732.5
6149	193557.2969
6160	41747.19922
6171	131973
6182	95272
6193	101192.1016
6204	25418.19922
6215	120378.2031
6226	91517.89844
6237	175522.2031
6248	156031.9063
6259	129243.3984
6270	349521.6875
6281	184749.2969
6292	352692.8125
6303	418842.0938
6314	389966.5
6325	424242.1875
6336	281135.4063
6347	152506.9063
6358	217180.2969
6369	145093.0938
6380	86729
6391	143901.5
6402	2558.100098
6413	108003.2969
6424	80438.39844
6435	118724.7031
6446	21.79999924
6457	81270.5
6468	9.399999619
6479	2.700000048
6490	9.399999619
6501	0.899999976
6512	23369.59961
6523	104204.5
6534	0.100000001
6545	1.700000048
6556	64000.30078
6567	97678.10156
6578	132666.0938
6589	515917.0938
6600	411131.3125
6611	808095.3125
6622	1197295.375
6633	1916412.375
6644	2289955.5
6655	2222528.75
6666	2978328.5
6677	2233757
6688	1759164.375
6699	1508402.125
6710	1157380.25
6721	1055385.5
6732	1053262.125
6743	729063.875
6754	407156.3125
6765	478476.5
6776	378687.4063
6787	270670.4063
6798	256890.2031
6809	213818.2031
6820	127965
6831	338888.1875
6842	90896.20313
6853	197064.5
6864	152648
6875	101925.5
6886	25.10000038
6897	45324.5
6908	81948.39844
6919	51486.10156
6930	231140.2031
6941	3.700000048
6952	323360.1875
6963	264987.9063
6974	574314.1875
6985	1059387.5
6996	1689731.25
7007	2277899.5
7018	2931659
7029	3043661.5
7040	2934298.75
7051	3118081.25
7062	2439566.5
7073	1843706.25
7084	1621871.5
7095	1104892.75
7106	988656.6875
7117	629283.5
7128	482322.6875
7139	260213
7150	200356.5938
7161	284579.1875
7172	177130.5
7183	332611.6875
7194	291633.5
7205	190864.0938
7216	111667.1016
7227	161070.5938
7238	216485.0938
7249	102979
7260	144110.7031
7271	123921.1016
7282	1.600000024
7293	72678
7304	58940.5
7315	0
7315	142711.4063
7315	142711.4063
7315	0
7326	24.29999924
7337	85895.5
7348	136062.4063
7359	5.599999905
7370	144508.5938
7381	75776.29688
7392	231424.9063
7403	79692.70313
7414	15.60000038
7425	138160
7436	85064.20313
7447	29.39999962
7458	170099.4063
7469	462652.0938
7480	351280.5
7491	300746.5938
7502	239241
7513	182454.5938
7524	190247.4063
7535	181054
7546	203039.7969
7557	150476.0938
7568	2.5
7579	138273.0938
7590	117295.5
7601	104110
7612	103252.7969
7623	59519.10156
7634	158022.2969
7645	39649.5
7656	124531.7031
7667	0.400000006
7667	0
7667	0
7667	0.400000006
7678	140525.7969
7689	3.200000048
7700	167262.4063
7711	140560
7722	208307.2969
7733	110046.5
7744	144775.7969
7755	469816.5
7766	77583.39844
7777	128932.7969
7788	56282
7799	151571.0938
7810	171648
7821	132727
7832	252416.9063
7843	413672.9063
7854	420524.4063
7865	410893.3125
7876	536982.125
7887	268830.1875
7898	377940.0938
7909	238639.5
7920	283011.8125
7931	196439.2031
7942	297048.0938
7953	113080.2031
7964	224489.2031
7975	255124.7969
7986	256479.7969
7997	116126
8008	63716
8019	142016.0938
8030	68759
8041	52349.39844
8052	197830.7969
8063	18348.5
8074	21012.09961
8085	21951.59961
8096	11733
8107	35499.89844
8118	18.20000076
8129	2153.800049
8140	53.29999924
8151	12.39999962
8162	155775.9063
8173	232333
8184	2.299999952
8195	300692.8125
8206	210564.2031
8217	348063
8228	436078.4063
8239	20.89999962
8250	262771
8261	171367.5
8272	222789
8283	6.900000095
8294	131536.7969
8305	43.79999924
8316	2.799999952
8327	38355.5
8338	9.800000191
8349	15921.7998
8360	11.19999981
8371	75373.5
8382	69215
8393	7.199999809
8404	7.5
8415	12.30000019
8426	104991.5
8437	2.5
8448	3.799999952
8459	0.600000024
8470	17.70000076
8481	41418.69922
8492	13498.7998
8503	14.5
8514	14.69999981
8525	14.39999962
8536	127825.8984
8547	6875.299805
8558	105108.2031
8569	47268
8580	32733.30078
8591	109591.1016
8602	156066.9063
8613	78705.89844
8624	46871.89844
8635	41493.30078
8646	96942.29688
8657	33026
8668	37869.30078
8679	16197.59961
8690	1.5
8701	0.899999976
8712	63860.80078
8723	72705.89844
8734	10.19999981
8745	166637
8756	92973.5
8767	8.699999809
8778	91139.60156
8789	145912.5
8800	150769.0938
8811	191185.4063
8822	199709.2031
8833	133450.0938
8844	94.5
8855	100078.8984
8866	272617.4063
8877	16.10000038
8888	53960.5
8899	0.699999988
8910	5.099999905
8921	14.19999981
8932	12.10000038
8943	158714
8954	39057.60156
8965	16.39999962
8976	2.900000095
8987	12.39999962
8998	42.90000153
9009	15.80000019
9020	65946
9031	1.5
9042	42.70000076
9053	3.299999952
9064	70888.5
9075	72920.5
9086	80144.70313
9097	80006.89844
9108	195602.0938
9119	181648.2031
9130	271960.0938
9141	258515
9152	341034.8125
9163	317737.3125
9174	243973.0938
9185	197140.0938
9196	226795.7031
9207	97171.60156
