Scan	Intensity	SmoothedIntensity	Peak 1	Peak 2	Peak 3	Peak 4	Peak 5	Peak 6	Peak 7	Peak 8	Peak 9
7557	150476.094	118252.135					150476.094				
7568	2.500	108567.627					2.500				
7579	138273.094	103758.606					138273.094				
7590	117295.500	102959.309					117295.500				
7601	104110.000	104899.023					104110.000				
7612	103252.797	106956.130					103252.797				
7623	59519.102	105388.604					59519.102				
7634	158022.297	96774.505					158022.297				
7645	39649.500	79961.453					39649.500				
7656	124531.703	57366.695					124531.703				
7667	0.400	34632.937					0.400				
7667	0.000	18555.430					0.000	0.000			
7667	0.000	14353.439					0.000	0.000			
7667	0.400	23870.340						0.400			
7678	140525.797	45638.115						140525.797			
7689	3.200	76371.995						3.200			
7700	167262.406	112470.528						167262.406			
7711	140560.000	150296.685						140560.000			
7722	208307.297	185252.903						208307.297			
7733	110046.500	210992.352						110046.500			
7744	144775.797	220444.720						144775.797			
7755	469816.500	209135.285						469816.500			
7766	77583.398	179170.840						77583.398			
7777	128932.797	140999.473						128932.797			
7788	56282.000	111006.954						56282.000			
7799	151571.094	105585.910						151571.094			
7810	171648.000	134425.762						171648.000			
7821	132727.000	196069.653						132727.000			
7832	252416.906	277616.895						252416.906			
7843	413672.906	358773.344						413672.906			
7854	420524.406	418805.843						420524.406			
7865	410893.313	443721.073						410893.313			
7876	536982.125	430763.822						536982.125			
7887	268830.188	388467.516						268830.188			
7898	377940.094	332522.232						377940.094			
7909	238639.500	279544.616						238639.500			
7920	283011.813	241454.737						283011.813			
7931	196439.203	222412.096						196439.203			
7942	297048.094	218847.819						297048.094			
7953	113080.203	221993.550						113080.203			
7964	224489.203	221822.567						224489.203			
7975	255124.797	211156.529						255124.797			
7986	256479.797	188504.706						256479.797			
7997	116126.000	158302.335						116126.000			
8008	63716.000	128214.716						63716.000			
8019	142016.094	104872.767						142016.094			
8030	68759.000	90525.316						68759.000			
8041	52349.398	82529.712						52349.398			
8052	197830.797	75676.502						197830.797			
8063	18348.500	65542.808						18348.500			
8074	21012.100	50714.472						21012.100			
8085	21951.600	32907.346						21951.600			
8096	11733.000	15622.040						11733.000			
8107	35499.898	2663.929						35499.898			
8118	18.200	-2660.665						18.200	18.200		
8129	2153.800	2219.994							2153.800		
8140	53.300	18978.950							53.300		
8151	12.400	48056.690							12.400		
8162	155775.906	88253.528							155775.906		
8173	232333.000	136370.299							232333.000		
8184	2.300	186986.551							2.300		
8195	300692.813	232736.477							300692.813		
8206	210564.203	265671.891							210564.203		
8217	348063.000	279736.263							348063.000		
8228	436078.406	273154.943							436078.406		
8239	20.900	249021.589							20.900		
8250	262771.000	213501.082							262771.000		
8261	171367.500	172966.691							171367.500		
8272	222789.000	132100.800							222789.000		
8283	6.900	93849.253							6.900		
8294	131536.797	60455.599							131536.797		
8305	43.800	34202.398							43.800		
8316	2.800	17146.161							2.800		
8327	38355.500	10139.890							38355.500		
8338	9.800	11977.007							9.800		
8349	15921.800	19378.777							15921.800		
8360	11.200	28019.792							11.200		
8371	75373.500	34160.833							75373.500		
8382	69215.000	36024.087							69215.000		
8393	7.200	34095.768							7.200		
8404	7.500	30199.399							7.500		
8415	12.300	26057.871							12.300		
8426	104991.500	22385.582							104991.500		
8437	2.500	18986.239							2.500		
8448	3.800	15462.030							3.800		
8459	0.600	11826.357							0.600		
8470	17.700	8683.830							17.700	17.700	
8481	41418.699	7081.386							41418.699	41418.699	
8492	13498.800	8186.212								13498.800	
8503	14.500	12818.187								14.500	
8514	14.700	20954.769								14.700	
8525	14.400	31564.767								14.400	
8536	127825.898	43063.455								127825.898	
8547	6875.300	54166.483								6875.300	
8558	105108.203	64444.170								105108.203	
8569	47268.000	74045.683								47268.000	
8580	32733.301	82822.546								32733.301	
8591	109591.102	89687.124								109591.102	
8602	156066.906	92841.912								156066.906	
8613	78705.898	90696.047								78705.898	
8624	46871.898	82713.163								46871.898	
8635	41493.301	69677.849								41493.301	
8646	96942.297	53520.998								96942.297	
8657	33026.000	37072.702								33026.000	
8668	37869.301	23737.306								37869.301	
8679	16197.600	16752.572								16197.600	16197.600
8690	1.500	17970.055									1.500
8701	0.900	26757.665									0.900
8712	63860.801	39945.487									63860.801
8723	72705.898	53251.825									72705.898
8734	10.200	63600.503									10.200
8745	166637.000	70932.415									166637.000
8756	92973.500	78185.442									92973.500
8767	8.700	89184.366									8.700
8778	91139.602	105676.103									91139.602
8789	145912.500	125578.164									145912.500
8800	150769.094	143804.808									150769.094
8811	191185.406	155113.290									191185.406
8822	199709.203	156816.063									199709.203
8833	133450.094	149383.058									133450.094
8844	94.500	134852.602									94.500
8855	100078.898	114916.520									100078.898
8866	272617.406	90677.516									272617.406
8877	16.100	64172.881									16.100
8888	53960.500	39703.064									53960.500
8899	0.700	22948.705									0.700
8910	5.100	17912.527									5.100
8921	14.200	23897.884									14.200
8932	12.100	35058.591									12.100
8943	158714.000	43274.037									158714.000
8954	39057.602	42646.690									39057.602
8965	16.400	32684.715									16.400
8976	2.900	18163.405									2.900
8987	12.400	5979.631									12.400
8998	42.900	1193.878									42.900
9009	15.800	4625.075									
9020	65946.000	13052.643									
9031	1.500	21496.935									
9042	42.700	26223.458									
9053	3.300	27193.232									
9064	70888.500	29086.268									
9075	72920.500	40262.399									
9086	80144.703	69318.330									
9097	80006.898	119862.928									
9108	195602.094	185727.408									
9119	181648.203	249908.642									
9130	271960.094	289668.631									
9141	258515.000	286980.556									
9152	341034.813	239308.371									
9163	317737.313	163398.054									
9174	243973.094	87304.250									
9185	197140.094	33923.648									
9196	226795.703	8429.555									
9207	97171.602	994.250									
