Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
811913	14035	422.2852	20002	20003	20769	14674	0	19926	20106	20013	2.18E+08	1435	64	1.33E+10	1.82E+08	152045	1.46E+06	6338	1.34E+10	20012	27.1	0.0708	0.2353	16	0.9332
811913	14036	432.2698	20002	20004	21745	15488	0	19926	20041	19990	9.13E+07	508.6	29	3.31E+09	2.58E+07	179443	986883	6330	3.45E+09	19986	20.1	-0.01007	0.301	10	1
811913	14037	631.8929	20002	20005	20045	-1	0	19863	20255	20045	3.62E+08	162.1	81	3.24E+10	1.11E+08	2.23E+06	1.45E+07	6341	3.14E+10	20062	40.5	0.5165	0.4045	25	1
811913	14039	834.9227	20002	20007	20013	-1	0	19926	20091	20013	3.10E+07	222.5	91	2.78E+09	2.75E+07	139221	898889	3567	2.86E+09	20013	30.7	-0.11	0.2503	17	1
811913	14042	513.0563	20002	20010	20013	-1	0	19846	20221	20013	7.64E+07	445.8	105	3.75E+09	5.44E+07	171432	1.72E+06	6350	3.51E+09	19978	50.6	-0.4741	0.5325	21	0.75
811913	14043	792.4391	20002	20011	20289	14278	0	19926	20113	20013	1.84E+07	17.43	44	8.34E+08	1.65E+07	1.06E+06	5.37E+06	3561	8.02E+08	20007	18.9	-0.2062	0.3452	10	1
811913	14046	399.2704	20013	20015	20071	-1	0	19897	20316	20071	9.23E+08	2853	111	1.05E+11	3.20E+08	323489	4.27E+06	6361	1.03E+11	20088	45.9	0.3115	0.3777	26	1
811913	14049	614.8558	20013	20018	20524	14454	0	19926	20298	20077	9.18E+07	105	171	1.49E+10	6.79E+07	874382	4.74E+06	3547	1.45E+10	20092	57.3	0.2506	0.3745	29	0.7572
811913	14050	448.7558	20013	20019	20013	-1	0	19935	20058	20013	1.36E+07	97.53	55	7.61E+08	7.03E+06	139784	846907	6346	8.04E+08	20017	22	0.08655	0.2665	12	0.7846
811913	14051	561.2712	20013	20020	20002	-1	0	19946	20050	20002	3.16E+07	78.16	25	8.63E+08	1.02E+07	404069	8.42E+06	10751	8.94E+08	20004	18.5	-0.159	0.3446	10	0.7256
811913	14053	588.3746	20013	20022	21061	14995	0	19746	20062	20033	6.85E+07	30.97	45	4.24E+09	7.15E+07	2.21E+06	1.20E+07	6363	3.74E+09	20028	22.9	-0.1638	0.2696	13	1
811913	14054	598.3593	20023	20024	21405	15208	0	19812	20324	20045	1.33E+08	116.3	103	1.10E+10	7.59E+07	1.14E+06	4.78E+06	6324	9.88E+09	20044	38.5	0.1045	0.196	24	0.7011
