Reporter_Ion	Observation_Rate	Observation_Rate_Top80Pct
Ion_126.128 	99.829          	99.694
Ion_127.125 	99.886          	99.796
Ion_127.131 	99.772          	99.694
Ion_128.128 	24.358          	24.719
Ion_128.134 	99.829          	99.796
Ion_129.131 	59.726          	59.244
Ion_129.138 	97.148          	96.629
Ion_130.135 	99.715          	99.796
Ion_130.141 	5.705           	5.516
Ion_131.138 	99.886          	99.796
Ion_131.144 	100.0           	100.0
