Dataset	ScanNumber	Collision Mode	ParentIonMZ	BasePeakIntensity	BasePeakMZ	ReporterIonIntensityMax	Ion_126.128	Ion_127.125	Ion_127.131	Ion_128.128	Ion_128.134	Ion_129.131	Ion_129.138	Ion_130.135	Ion_130.141	Ion_131.138	Ion_131.144	Weighted Avg Pct Intensity Correction	Ion_126.128_SignalToNoise	Ion_127.125_SignalToNoise	Ion_127.131_SignalToNoise	Ion_128.128_SignalToNoise	Ion_128.134_SignalToNoise	Ion_129.131_SignalToNoise	Ion_129.138_SignalToNoise	Ion_130.135_SignalToNoise	Ion_130.141_SignalToNoise	Ion_131.138_SignalToNoise	Ion_131.144_SignalToNoise	Ion_126.128_Resolution	Ion_127.125_Resolution	Ion_127.131_Resolution	Ion_128.128_Resolution	Ion_128.134_Resolution	Ion_129.131_Resolution	Ion_129.138_Resolution	Ion_130.135_Resolution	Ion_130.141_Resolution	Ion_131.138_Resolution	Ion_131.144_Resolution
811913	20086	hcd	444.75	1015164.5	444.7543	284573.6	90417.44	265434.97	257575.94	0	154275.92	51992.39	36520.28	147260.73	0	115458.42	284573.6	5.4	63.77	182.16	184.69	98.81	119.29	43.33	34.65	103.83	139.22	80.94	194.16	65602	67202	67302	66502	66502	65402	64002	66202	66302	66402	65806
811913	20087	hcd	488.3	4748039.5	488.3015	480754.71	90052.47	279494.17	246099.02	0	270058.46	165889.64	57011.11	104315.46	0	115408.79	234541.8	4.3	58.31	177.94	163.5	320.62	183.25	123.26	53.22	72.7	274.92	73.57	153.62	65602	67202	67002	66806	67002	66802	65302	66402	66202	66002	66102
811913	20088	hcd	484.81	3886185.25	484.8133	368168.26	244540.84	277589.86	199474.59	0	225207.67	105718.4	29323.46	79851.55	0	111854.9	178931.67	4.8	280.1	316.13	252.99	447.2	274.58	146.95	58.93	100.64	390.84	128.76	213.64	67302	67702	67002	67406	67102	66502	65502	67402	65902	66002	66702
811913	20089	hcd	432.58	855669.63	432.2713	269711.56	133979.67	116551	145887.27	203896.94	155768	80203.45	41706.25	169790.62	0	127977.75	195381.86	3.9	163.51	141.03	191.61	258.37	201.61	115.09	69.48	210.34	328.76	159.05	241.54	66502	67402	66902	66802	67502	66702	65702	66802	66206	66802	66502
811913	20090	hcd	402.27	655676.88	402.2737	286222.97	169665.82	168178.96	225110.36	0	138475.02	55549.44	35558.19	90806.83	0	94565.62	286222.97	4.5	207.95	204.48	293.54	212.14	190.13	82.44	58.45	118.21	206.57	119.71	355.47	66802	67302	67706	66902	67202	65702	65902	66302	66202	66302	66606
811913	20092	hcd	568.35	18686460	568.3502	2186027.21	709594.03	448413.48	2186027.21	0	329968.57	0	226497.62	70412.42	0	1238591.07	658621.91	7.4	164.27	102.01	511.12	162.19	111.62	28.26	67.98	26.79	423.37	275.61	160.95	67102	67802	67006	67102	66402	65002	66002	68200	66502	66702	66002
811913	20093	hcd	769.05	239994.86	572.3978	93730.32	45133.14	55654.54	47921.55	61194.26	86463.69	0	16578.06	93730.32	0	74079.63	56960.29	4.6	20.67	25.24	23.99	29.93	41.01	9.4	10.3	43.46	24.12	34.61	26.1	64002	64902	63402	65302	64802	60900	61000	64806	63102	64602	64802
811913	20094	hcd	874.93	1495983.25	874.9284	357028.3	124343.61	148354.46	155830.44	0	206514.39	26595.71	15559.17	52894.64	0	80750.38	165908.24	5.4	104.53	123.9	139.87	304.02	180	40.55	29.07	45.98	238.58	66.38	141.08	66702	66802	66702	67306	66602	65302	64202	66702	65802	65402	66202
811913	20095	hcd	509.31	1918533.25	509.2901	501962.23	191711.46	427279.45	250094.88	0	327100.07	114149.35	71448.15	168294.04	0	149214.76	258974.75	4.5	100.93	221.37	140.54	207.62	180.17	72.18	53.67	91.22	261.48	78.85	139.78	67002	66806	66202	67802	66302	65802	65202	66502	66502	65802	65902
811913	20096	hcd	521.97	1835265	521.9747	304114.67	60213.68	93914.75	98821.94	0	117435.37	304114.67	43628.88	34405.47	0	44952.74	79521.15	5.9	50.35	77.54	87.01	119.34	103.92	252.57	47.33	42.28	215.34	37.41	71.65	66202	66702	66302	66902	66702	66906	64902	65602	66202	64802	65502
811913	20098	hcd	610.37	2193965	610.3749	1139158.35	117795.1	323421.53	139320.09	229744.63	196686.02	0	39768.78	1139158.35	0	167024.87	191191.96	7.7	47.95	130.41	61.43	103.91	84.44	30.78	22.57	461.78	73.11	85.79	78.93	66102	66906	65502	66502	66402	64802	63402	65906	67702	66102	66002
811913	20099	hcd	471.28	6633775	471.275	951694.94	224004.57	951694.94	300618.89	0	292227.42	74933.82	54849.33	147707.21	0	84853.47	374088.29	6.8	112.4	468.3	160.22	140.4	155.98	45.64	38.77	75.24	139.31	44	185.63	66602	67106	66702	66902	67002	65602	65702	66202	65702	65202	66106
811913	20100	hcd	767.76	552090.06	473.3291	137244.39	129465.8	137244.39	81800.38	0	109939.45	0	31563.65	129116.31	0	86667.02	103133	4.3	58.49	61.39	42.06	52.1	52.47	45.85	18.34	60.66	54.44	40.33	47.04	66002	66506	64802	65802	65902	64802	62802	66102	65502	65202	64802
811913	20101	hcd	685.34	179514.55	626.3263	113711.98	16302.32	35487.64	46137.74	0	87298.32	113711.98	21736.53	32699.21	0	91800.51	37783.64	5.1	13.44	28.69	39.34	52.36	73.07	92.7	22.61	32.99	54.81	72.8	31.42	62302	64302	65302	66502	65702	65906	64302	63902	65202	64802	64802
811913	20102	hcd	411.76	2814696.75	411.7562	382449.45	264396.84	281436.92	180973.36	382449.45	226104.55	308026.99	41723.44	198104.42	0	66576.48	185876.74	4	287.98	304.17	221.68	444.61	259.66	356.74	68.14	229.56	346.06	78.92	208.01	66602	67302	67302	66806	67402	66602	66002	66802	66402	66202	66102
811913	20103	hcd	637.35	613026.63	637.3513	312123	87571.11	166610.27	168920.02	0	195247.08	0	160003.13	128156.64	0	86149.97	167013.57	3.1	25.42	47.79	51.21	81.43	60.49	29.42	50.96	38.09	91.47	25.55	49.76	64002	65402	65802	66502	65702	64002	65502	65702	65206	64402	65202
811913	20104	hcd	625.87	1167298.13	625.8766	242701.94	80635.4	132015.48	145082.67	0	156918.03	0	98559.37	114049.11	0	75776.23	136599.9	3.4	36.15	58.49	67.95	112.03	74.66	39.11	48.99	51.88	84.07	34.38	61.17	65002	66102	65602	66706	65902	65302	65402	65002	66002	64602	65102
811913	20105	hcd	451.02	1557439.63	450.8197	363580.19	363580.19	203640.24	128550.54	205115.55	112837.42	42467.06	20227.42	88256.88	0	67761.64	183645.72	6.4	363.83	202.54	158.14	221.4	122.66	56.89	29.15	91.33	106.52	69.68	182.73	67306	66902	66502	67202	66102	66002	63802	65502	66502	65902	66106
811913	20107	hcd	534.33	23165794	534.3297	3208526.34	447447.82	565817.33	706071.26	0	1422218.11	157629.23	264331.28	431869.83	0	499870.82	870815.28	6.2	66.96	86.34	112.79	479.91	217.88	53.29	53.03	66.29	108.65	74.38	128.76	66202	67002	66302	67206	66402	65302	65102	65702	66202	65802	66202
811913	20108	hcd	515.34	20791792	515.3397	1816682.94	397454.75	486042.97	543600.64	0	1103293.05	0	66835.15	178777.71	0	218668.87	489822.06	6.4	126.59	155.94	186.53	585.31	360.62	109.92	51.84	61.75	399.74	70.05	165.8	66902	67102	66702	67406	66802	66402	64802	67800	66302	65702	66102
811913	20109	hcd	494.8	6415013.5	494.8029	1503920.06	224125.32	136520.64	225346.64	0	99141.18	118731.36	1503920.06	66336.67	0	594957.08	245468.06	8.2	119.64	72.34	129.41	116.6	80.5	69.23	792.07	48.97	140.71	308.82	130.47	67002	65702	66802	67002	65702	68400	66606	65602	66202	66402	66302
811913	20110	hcd	487.67	7188588	487.6668	1191358.28	228562.15	1146667.9	353492.87	0	270269.37	161217.72	40035.89	155815.59	0	195357.7	299102.49	5.7	100.01	494.5	162.45	553.99	128.74	102.07	33.95	72.64	344.2	85.2	138.3	66602	67202	66702	67206	66702	66302	63702	67202	66002	66102	66602
811913	20111	hcd	559.33	3924895.25	559.3254	436123.5	175778.08	295525.2	227382.56	0	209160.78	93358.39	436123.5	112055.37	0	223841.73	214240.74	4.2	56.81	94.26	78.28	87.46	75.63	35.31	144.5	39.41	95.91	71.56	70.22	65202	66102	66802	66502	65702	65402	66606	64902	65202	65802	65902
811913	20112	hcd	1038.57	659160.94	1038.5719	370130.27	38916.89	10924.82	40979.75	0	67907.75	0	8965.17	370130.27	0	88179.5	91916.37	7.3	39.78	11.13	45.77	20.21	72.17	15.81	14	374.62	43.55	103.69	93.44	64702	60400	65402	64502	65902	61902	61602	66206	66802	66102	65702
