Dataset	ScanNumber	Collision Mode	ParentIonMZ	BasePeakIntensity	BasePeakMZ	ReporterIonIntensityMax	Ion_126.128	Ion_127.125	Ion_127.131	Ion_128.128	Ion_128.134	Ion_129.131	Ion_129.138	Ion_130.135	Ion_130.141	Ion_131.138	Ion_131.144	Weighted Avg Pct Intensity Correction	Ion_126.128_SignalToNoise	Ion_127.125_SignalToNoise	Ion_127.131_SignalToNoise	Ion_128.128_SignalToNoise	Ion_128.134_SignalToNoise	Ion_129.131_SignalToNoise	Ion_129.138_SignalToNoise	Ion_130.135_SignalToNoise	Ion_130.141_SignalToNoise	Ion_131.138_SignalToNoise	Ion_131.144_SignalToNoise	Ion_126.128_Resolution	Ion_127.125_Resolution	Ion_127.131_Resolution	Ion_128.128_Resolution	Ion_128.134_Resolution	Ion_129.131_Resolution	Ion_129.138_Resolution	Ion_130.135_Resolution	Ion_130.141_Resolution	Ion_131.138_Resolution	Ion_131.144_Resolution
811913	20039	hcd	641.37	284274.59	110.0716	153187.9	58413.39	153187.9	55632.56	0	106992.14	29171.84	102791.64	99194.44	0	84481.43	105481.2	3.9	31.52	81.96	33.22	76.41	61.17	21.36	59.86	55.22	62.87	46.82	57.83	65702	66506	64202	66302	65702	63602	65802	65702	65202	64702	65602
811913	20040	hcd	401.77	4032318	401.7726	943419.05	631724.88	343797.48	613570.12	0	161328.88	0	24629.67	77033.05	0	61771.88	943419.05	7.4	471.61	251.03	489.68	120.56	149.36	41.12	26.23	58.02	98.73	46.15	673.23	67102	67002	67506	66702	66902	65002	64202	65102	66302	74500	66206
811913	20042	hcd	606.67	13610601	606.6693	3828205.76	321707.6	2043034.48	2140441.53	0	1707204.23	86281.43	77129.65	734523.02	0	408036.2	1096141.4	6.5	24.5	149.72	161.2	167.24	137.29	17.51	21.09	54.66	280.92	31.54	88.61	63702	66802	66602	67102	66602	63002	64102	67000	66206	63902	65902
811913	20043	hcd	514.04	1075144.5	596.3528	489555.95	53106.98	85870.47	180842.12	0	301436	139283.15	53595.65	136235.76	0	489555.95	81646.17	5	19.33	30.56	67.57	42.87	112.03	52.27	26.68	56.34	68.41	172.48	30.81	62602	63702	66302	65502	66206	66002	63502	65602	65502	65602	65702
811913	20044	hcd	543.83	3322221.25	543.8284	303078.37	99375.42	303078.37	190038.39	0	147881.09	0	50357.9	135765.3	0	83870.81	159798	5.2	38.25	114.1	75.84	75.09	61.45	28	24.62	52.38	95.04	32.82	61.86	65402	66706	66302	66202	65902	64902	63802	65602	65402	64502	65202
811913	20046	hcd	646.4	8963318	646.3948	4921659.11	409187.69	4921659.11	283454.14	0	315202.31	0	63440.08	213618.6	0	191664.75	181292.71	11.9	83.43	992	65.21	113.64	69	18.33	18.54	45.42	70.92	40.58	39.15	66602	67006	72900	66802	65602	63902	62502	65402	65702	64102	64202
811913	20047	hcd	514.04	1054512	596.3525	482481.75	67576.3	121515.1	199489.05	0	315358.17	0	46955.97	139453.15	0	482481.75	101925.94	5.3	20.18	35.47	61.54	28.03	96.92	43.52	20.53	47.53	61.93	140.02	31.37	63902	65602	65902	65002	66106	64902	62202	65602	65302	65602	65602
811913	20048	hcd	626.37	769079.13	626.3749	208156.83	91808.13	162076.63	127216.81	0	199163.92	46321.19	65100.21	200773.37	0	141267.95	162252.29	4	38.89	68.16	57.9	87	88.72	26.76	34.6	87.15	90.99	62.3	70.67	65702	65802	65902	66402	66602	64002	65702	66302	65406	64702	66002
811913	20049	hcd	557.33	643001.81	557.333	214830.6	91586.28	114634.31	134780.12	0	214830.6	0	30082.23	192088.26	0	135776.18	124984.89	3.7	65.23	80.66	102.24	117.17	158.04	70.49	32.66	138.66	121.08	97.91	89.27	66102	66402	66902	66902	66706	66102	64102	66802	65802	65502	66002
811913	20051	hcd	607.37	9908863	607.3384	2597489.54	153786.46	1352021.05	1358989.32	0	1210508.56	188853.95	183386.34	434869.87	0	366255.42	1095495	5.4	14.21	118.75	122.42	141.53	115.72	25.61	28.75	39.62	229.04	32.92	101.76	61702	66802	66602	67002	66802	64502	65002	65902	65906	64902	66102
811913	20052	hcd	741.86	449438.75	710.3954	421428.16	27003.76	107757.24	74787.93	51744.92	305813.87	68526.99	0	421428.16	0	128894.05	53553.48	6.8	7.08	27.76	21.16	16.15	80.98	21.66	4.23	111.31	20.01	37.63	14.45	64300	64302	63902	62702	66002	62902	44100	65806	63302	64202	63302
811913	20053	hcd	539.82	5187556	539.818	831889.05	471189.11	831889.05	660789.48	0	458181.72	101308.29	75352.87	113173.33	0	125873	335478.43	5.9	179.95	311.88	266.25	156.24	191.23	47.15	45.2	45.48	255.86	47.69	131.35	67102	67206	67002	67402	66602	65502	64702	67302	65602	64802	66002
811913	20054	hcd	555.65	914393.5	555.6462	198105.71	62658.45	85056.74	88380.47	158180.53	74611.65	56479.93	30651.57	58683.35	0	49120.44	88095.23	4.2	84.89	114.32	126.52	222.02	109.74	89.07	53.96	83.16	265.88	67.2	124.05	66702	66302	66502	67302	66202	65802	65302	66402	65906	65302	66102
811913	20055	hcd	553.03	626895.88	552.8566	423967.79	175237.62	252009.61	167196.35	0	383502.5	83966.01	149104.69	423967.79	0	251724.01	241341.11	4.3	58.34	83	61.67	92.39	131.65	36.44	58.33	141.8	97.24	87.07	81.31	66302	66002	66602	67002	66602	65002	65102	66306	66402	65702	65702
811913	20056	hcd	799.37	48939.11	799.3915	38737.72	18331.1	38737.72	19980.61	0	24339.18	0	7507.21	20061.2	0	18556.12	20788.11	4.4	31.13	64.78	36.65	45.14	43.63	28.98	16.32	35.5	54.97	31.77	35.95	65202	65806	65002	65702	65502	64402	61702	64102	65602	63602	64602
