Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
0	753	583.3259	45816	45822	45855	-1	0	45764	45998	45855	1.7683E+06	4.406	51	1.3776E+08	992867	401331	561660	27	7.8395E+07	45853	24	-0.003307	0.2875	10	0
0	754	564.6395	45816	45823	45803	-1	0	45712	45881	45803	261040	6.199	57	2.0905E+07	246203	42109	46564	78	1.4372E+07	45802	25.4	0.02329	0.2979	11	0
0	755	607.8486	45816	45824	45816	-1	0	45725	45894	45816	307453	4.333	28	1.8697E+07	268626	70949	69292	28	8.6619E+06	45816	21.6	-0.0005006	0.3346	9	0
0	756	852.2042	45816	45825	45855	-1	0	45777	45946	45855	2.3274E+07	23.32	47	1.2831E+09	8.3379E+06	997856	3.54E+06	78	1.2049E+09	45855	25.4	0.02093	0.2998	11	0
0	757	715.134	45816	45826	45855	-1	0	45764	45946	45855	4.5218E+06	14.17	58	3.0059E+08	2.9226E+06	319201	950423	79	2.6749E+08	45852	25.7	0.04965	0.2949	11	0
0	758	802.9276	45816	45827	45842	-1	0	45751	45933	45842	1.5181E+06	4.266	59	1.1842E+08	1.6425E+06	355889	552806	27	7.6088E+07	45838	23.3	-0.02153	0.3235	10	0
0	759	749.3655	45816	45828	45777	-1	0	45660	45894	45777	1.4507E+06	3.69	90	1.5083E+08	980118	393139	479051	30	8.8048E+07	45782	29.2	0.01392	0.2916	12	0
0	760	948.1958	45829	45830	45842	-1	0	45764	45933	45842	2.0241E+06	21.49	39	9.4779E+07	1.2669E+06	94191	268090	78	8.7606E+07	45841	24.7	0.01921	0.2944	11	0
0	761	753.7177	45829	45831	45829	-1	0	45751	45907	45829	911693	22.6	33	3.431E+07	882370	40337	59632	77	3.1469E+07	45827	22.2	0.02257	0.3295	9	0
0	762	740.0593	45829	45832	45829	-1	0	45738	45933	45829	2.4371E+06	3.39	69	2.1402E+08	2.3382E+06	719003	748213	28	1.0373E+08	45822	24	-0.02474	0.3181	10	0
0	763	652.8188	45829	45833	45816	-1	0	45725	45907	45816	1.4869E+06	4.232	68	1.1665E+08	1.6625E+06	351362	545882	27	7.3109E+07	45817	22.8	-0.02627	0.3071	9	0
0	764	1070.5752	45829	45834	45842	-1	0	45764	45933	45842	1.0978E+06	11.49	56	7.1112E+07	1.1092E+06	95575	223781	79	6.0591E+07	45843	25.3	0.02281	0.3008	11	0
0	765	592.8586	45829	45835	45829	-1	0	45751	45998	45829	846071	5.105	43	5.6227E+07	775077	165719	228583	27	3.0247E+07	45835	22.7	0.03503	0.31	10	0
0	766	548.299	45829	45836	45881	-1	0	45764	45998	45881	2.131E+06	3.436	82	2.1248E+08	1.1542E+06	620123	772549	27	1.1379E+08	45882	26.8	-0.03683	0.3104	11	0
0	767	617.3047	45829	45837	45829	-1	0	45751	45920	45829	783603	10.93	52	4.6576E+07	709745	71676	152362	79	3.8516E+07	45836	24.1	0.0238	0.3088	10	0
0	768	1135.9369	45829	45838	45855	-1	0	45777	45946	45855	1.6057E+06	22.63	30	6.5783E+07	847665	70962	159090	78	5.9562E+07	45856	24	0.07041	0.3052	10	0
0	769	574.717	45829	45839	45868	-1	0	45751	45998	45868	1.5157E+06	3.655	77	1.4292E+08	1.0574E+06	414701	527806	27	7.557E+07	45872	25.4	-0.001433	0.3204	10	0
0	770	958.5002	45829	45840	45855	-1	0	45777	45946	45855	893547	8.043	52	5.2371E+07	622899	111093	179038	79	3.847E+07	45858	23.8	0.05618	0.3085	10	0
0	771	745.0383	45829	45841	45829	-1	0	45751	45907	45829	570545	8.292	53	3.1856E+07	533324	68803	105503	79	2.3642E+07	45829	22.5	0.0005893	0.3146	9	0
0	772	1037.886	45842	45843	45777	-1	0	45595	45998	45777	6.7669E+06	0.8847	108	9.0846E+08	2.2443E+06	7.6489E+06	1.14E+07	53	3.3339E+08	45777	15.1	-0.05957	0.3727	5	0
0	773	1409.7916	45842	45844	45855	-1	0	45764	45959	45855	695180	12.94	59	3.8725E+07	96707	53738	91437	78	2.9417E+07	45857	26.3	-0.02198	0.2987	11	0
0	774	1108.9136	45842	45845	45855	-1	0	45777	45959	45855	2.5753E+06	4.825	51	1.8106E+08	2.3152E+06	533724	830104	27	1.1534E+08	45861	23.5	0.01832	0.3149	10	0
0	775	572.3093	45842	45846	45855	-1	0	45764	45998	45855	476252	3.507	75	4.5477E+07	569601	135807	178856	27	2.2538E+07	45858	23.7	0.04693	0.3083	10	0
0	776	832.189	45842	45847	45855	-1	0	45751	45959	45855	1.5797E+06	4.487	54	1.1831E+08	1.5708E+06	352043	497703	27	6.9723E+07	45856	24.1	0.05152	0.3059	10	0
