Parent_Index	Parent_MZ	Daughter_MZ	MZ_Start	MZ_End	Scan_Count
0	368.710	263.661	263.660	263.662	2768
0	368.710	542.332	542.331	542.333	2768
0	368.710	599.354	599.353	599.355	2768
1	427.231	510.266	510.265	510.267	2768
1	427.231	583.800	583.799	583.801	2768
1	427.231	724.397	724.396	724.398	2768
2	458.760	265.118	265.117	265.119	2768
2	458.760	511.323	511.322	511.324	2768
2	458.760	624.407	624.406	624.408	2768
3	486.778	502.312	502.311	502.313	2768
3	486.778	615.396	615.395	615.397	2768
3	486.778	728.480	728.479	728.481	2768
4	490.249	441.260	441.259	441.261	2768
4	490.249	586.323	586.322	586.324	2768
4	490.249	685.391	685.390	685.392	2768
4	490.249	881.512	881.511	881.513	2768
5	495.285	409.261	409.260	409.262	2768
5	495.285	506.330	506.329	506.331	2768
5	495.285	607.377	607.376	607.378	2768
6	514.790	383.743	383.742	383.744	2768
6	514.790	556.341	556.340	556.342	2768
6	514.790	766.478	766.477	766.479	2768
7	515.947	667.340	667.339	667.341	2768
7	515.947	723.882	723.881	723.883	2768
7	515.947	784.382	784.381	784.383	2768
7	515.947	897.466	897.465	897.467	2768
8	522.581	429.248	429.247	429.249	2768
8	522.581	560.289	560.288	560.290	2768
8	522.581	631.326	631.325	631.327	2768
9	539.626	694.880	694.879	694.881	2768
9	539.626	759.401	759.400	759.402	2768
9	539.626	824.486	824.485	824.487	2768
10	543.287	213.160	213.159	213.161	2768
10	543.287	873.413	873.412	873.414	2768
10	543.287	972.482	972.481	972.483	2768
11	589.819	510.784	510.783	510.785	2768
11	589.819	559.323	559.322	559.324	2768
11	589.819	696.382	696.381	696.383	2768
12	601.374	777.435	777.434	777.436	2768
12	601.374	890.519	890.518	890.520	2768
12	601.374	989.588	989.587	989.589	2768
13	640.342	510.266	510.265	510.267	2768
13	640.342	724.397	724.396	724.398	2768
13	640.342	1019.525	1019.524	1019.526	2768
14	640.869	540.811	540.810	540.812	2768
14	640.869	854.519	854.518	854.520	2768
14	640.869	951.572	951.571	951.573	2768
15	675.345	252.180	252.179	252.181	2768
15	675.345	519.338	519.337	519.339	2768
15	675.345	763.459	763.458	763.460	2768
16	686.368	672.370	672.369	672.371	2768
16	686.368	785.454	785.453	785.455	2768
16	686.368	1072.566	1072.565	1072.567	2768
17	734.869	345.140	345.139	345.141	2768
17	734.869	881.512	881.511	881.513	2768
17	734.869	1239.625	1239.624	1239.626	2768
18	773.417	426.270	426.269	426.271	2768
18	773.417	897.466	897.465	897.467	2768
18	773.417	1034.525	1034.524	1034.526	2768
19	774.445	794.980	794.979	794.981	2768
19	774.445	980.564	980.563	980.565	2768
19	774.445	1030.098	1030.097	1030.099	2768
20	783.368	429.248	429.247	429.249	2768
20	783.368	860.432	860.431	860.433	2768
20	783.368	1219.529	1219.528	1219.530	2768
21	849.428	671.343	671.342	671.344	2768
21	849.428	1131.542	1131.541	1131.543	2768
21	849.428	1341.679	1341.678	1341.680	2768
