Dataset	ScanNumber	Collision Mode	ParentIonMZ	BasePeakIntensity	BasePeakMZ	ReporterIonIntensityMax	Ion_126.128	Ion_127.125	Ion_127.131	Ion_128.128	Ion_128.134	Ion_129.131	Ion_129.138	Ion_130.135	Ion_130.141	Ion_131.138	Weighted Avg Pct Intensity Correction
0	21100		898.43	446892.41	906.4178	73808.51	60841.43	61249.58	59094.34	59151.76	73559.34	65186.12	63244.78	66498.76	65014.24	73808.51	3.2
0	21101		1377.95	1881105.13	138.0549	22748.67	17863.7	20157	13829.82	19755.24	19567.18	17764.28	19448.81	20117.54	18480.59	22748.67	3.3
0	21102		664.6	242765.61	230.1701	201357.56	179051.77	176986.2	170570.14	186358.06	171565.52	176097.44	190491.45	177144.84	169663.78	201357.56	3.2
0	21104		490.03	2403654.75	230.1701	718204.81	688790.06	714598.56	581200.13	669399.31	670275.5	684721.63	707166.19	714992.5	718204.81	709133.44	3.3
0	21105		735.78	77517.22	230.1701	54084.72	43667.46	50893.87	54084.72	51952.69	52711.98	47777.16	45904.32	45369.86	45985.98	47573.05	3.1
0	21106		568.13	574816.81	433.7559	484274.03	413940	452423.19	282442.63	398181.22	474581.19	427124.63	441437.22	448903.19	468005.84	484274.03	3.4
0	21107		794.42	244379.47	795.5035	74937.79	62669.01	65207.29	74937.79	68948.85	71685.87	72093.55	65645.37	70026.13	73231.7	73923.59	3.1
0	21108		897.93	531120.56	906.4182	64407.6	60413.94	61349.8	59624.71	59154.22	64407.6	62976.38	63024.27	55949.16	62430.97	58800.14	3.2
0	21109		770.38	193057.31	230.1702	190772.84	160335.91	159700.91	153809.89	175539.45	170381.13	167712.23	172790.94	163072.03	170440.45	190772.84	3.2
0	21110		659.68	532161.06	136.0757	315357.13	155770.5	176147.25	315357.13	209741.86	163849.63	204641.33	159231.3	158640.8	139419.56	158951.05	3.5
0	21112		513.81	1626991	230.17	1090243.88	910966.44	899171.31	991258	914001.44	894399.56	998228.13	983125.44	1045515.69	971190.56	1090243.88	3.0
0	21113		624.33	568123.13	624.334	509356.25	448588.09	446828.47	509356.25	443681.72	470524.88	478910.28	456140.81	447443.06	465393.25	506435.13	3.2
0	21115		461.3	1166683.13	230.17	891179.63	788650.69	705493.63	722191	790074.56	811032.06	829238.88	784506.75	752679.25	770053.25	891179.63	3.2
0	21116		572.65	461090.91	136.0757	420790.97	245091.11	237828.59	420790.97	309251.78	241093.09	296356.28	256831.11	230966.31	256168.45	281331.34	3.4
0	21117		602.31	2946488	602.8388	795044.75	683699	715566.44	668382.5	627321.13	744090.94	763508.56	726770.94	727837.56	795044.75	726229.88	3.2
0	21118		427.28	1006837.94	131.1381	1038737	915733.88	948925.06	683311.13	844729.25	951151.88	934988.25	974227.94	966572.69	988195.19	1038737	3.3
0	21119		687.61	4154284.25	686.9591	854368.06	831220.63	733119.81	534966.81	697969.19	802784	761910.44	776656.31	772837.31	854368.06	806527	3.5
0	21120		970.79	738845.38	126.055	127439.25	107812.98	109116.32	91735.2	100800.11	121586.18	97944.73	127439.25	117698.24	116826.78	119870.06	3.1
0	21122		590.86	2239791.25	131.1382	2309899	2242993.25	1951907.75	1671037.88	2105715.5	2139218.25	2136695	2116460.25	2170655.5	2190445.5	2309899	3.3
0	21123		690.07	559122.19	230.1701	497789.81	450814.06	461309.84	394786.69	417479.19	431699.31	493721.69	482855.72	494319.53	484153.66	497789.81	3.2
0	21125		419.24	386637.53	175.1189	196625.7	184489.98	185930.95	149426.81	167108.59	186364.66	169556.69	183324.94	191184.36	182357.08	196625.7	3.3
0	21126		403.63	18917344	213.6365	1951390.13	1457338	1568912.75	1178486	1619262.88	1788072	1820296.75	1790323.63	1822867.38	1951390.13	1689249.75	3.0
0	21127		637.32	2991730.25	110.0715	656976.31	606947.75	530376.13	410172.31	553529.38	656976.31	576023.69	537829.25	414917.34	596624.19	498864.88	3.6
0	21128		541.69	308027.63	359.724	197929.22	163070.69	162699.31	154326.22	129122.83	159315.83	159410.95	197929.22	183160.34	177910.92	169539.86	3.0
0	21129		728.1	583858.25	126.0551	210900.78	188133.25	179517.34	187214.13	176687.16	188304.17	210900.78	205742.05	189418.36	195976.7	200884.84	3.1
0	21130		858.48	541941.25	230.1701	382730.19	334146.34	353936.41	272695	320013.91	337880	323758.94	382730.19	359809.5	332410.56	359319.34	3.1
0	21131		664.85	220768.08	230.1701	172366.97	139439.95	151721.14	139883.53	149655.17	162765.97	140034.5	164612.7	163820.14	153206.31	172366.97	3.0
0	21132		454.27	535554.44	457.2971	246215.05	213481.16	220823.44	193122.41	246215.05	214334.03	240785.09	206913.55	235406.59	210987.91	244516.11	3.2
0	21134		672.05	841951.44	672.3799	543274.44	440865.38	466986.38	409268.09	421710.72	501202.28	492119.19	489766.94	444223.03	543274.44	540420.31	3.4
0	21135		985.15	306112.66	1252.5859	240712.94	221622	204164.8	168494.16	199687.22	240712.94	229828.84	223643.86	199058.92	218508.86	186532.39	3.2
0	21136		681.72	3697498.5	129.1377	3658756	3637711.75	3312095.5	2380160.75	2997015.5	3491108.25	3261578.75	3658756	3584053.25	3523244.75	3272182	3.2
0	21137		654.39	796019.13	129.1377	790635.88	759143.5	700354.44	658445.19	665382.19	711976.81	720168.69	790635.88	716762.81	732911.38	778880.38	3.2
0	21138		448.77	501803.75	230.1699	463898.69	429180.25	437134.63	374995.38	411287.41	451720.22	451996.16	440266.16	448262.69	463898.69	453186.28	3.2
0	21139		490.3	1766312.75	230.17	865200.25	812032	823301.56	695158.69	767642.38	831409.44	834100.94	798308.75	847067.13	823006.19	865200.25	3.3
0	21140		641.67	902227.5	110.0715	311825	302041.72	287139.69	209678.88	280233.75	293045.5	277686.84	285205.13	285452.38	311825	304088.56	3.5
0	21142		504.54	6015859	175.1188	4632229	3623673	3894559.75	3108300	3849355	4002000.5	3895136.25	3922624	4008684.25	4239689.5	4632229	3.3
0	21143		410.23	1616266.75	213.6366	243061.48	226736.83	204471.36	172562.14	200593.69	221649.5	243061.48	214126.13	216349.56	233628.28	229356	3.4
