Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
0	21000	68.8757	1	1.0862E+10	7.1274E+08	414.5145	331.7	802	802	MS
0	21001	68.8801	2	5.9644E+07	6.2227E+06	230.1699	209.7	115	369	Unknown, beam-type collision-induced dissociation-MSn
0	21002	68.8824	2	1.5601E+07	528381	129.1378	142.6	314	861	Unknown, beam-type collision-induced dissociation-MSn
0	21003	68.8847	2	1.6627E+07	1.4057E+06	262.1507	351.9	316	823	Unknown, beam-type collision-induced dissociation-MSn
0	21004	68.8870	2	6.7074E+06	486356	230.17	174.6	141	343	Unknown, beam-type collision-induced dissociation-MSn
0	21005	68.8893	2	7.5013E+06	719313	127.1309	251.6	184	505	Unknown, beam-type collision-induced dissociation-MSn
0	21006	68.8915	1	1.0568E+10	6.8112E+08	414.5144	335	774	774	MS
0	21007	68.8960	2	8.5952E+07	4.6946E+06	756.408	85.45	150	501	Unknown, beam-type collision-induced dissociation-MSn
0	21008	68.8982	2	6.6126E+07	2.907E+06	230.1699	81.78	140	452	Unknown, beam-type collision-induced dissociation-MSn
0	21009	68.9005	2	1.5415E+07	754864	616.8162	221.3	271	669	Unknown, beam-type collision-induced dissociation-MSn
0	21010	68.9028	2	7.2691E+06	411246	878.9732	80.62	94	321	Unknown, beam-type collision-induced dissociation-MSn
0	21011	68.9050	1	9.3253E+09	5.7607E+08	414.5143	270	696	696	MS
0	21012	68.9107	1	9.8617E+09	5.359E+08	414.5144	237	780	780	MS
0	21013	68.9152	2	3.5103E+07	1.2724E+06	175.1187	104.9	212	678	Unknown, beam-type collision-induced dissociation-MSn
0	21014	68.9175	2	2.1273E+08	2.9046E+07	110.0715	315.2	145	498	Unknown, beam-type collision-induced dissociation-MSn
0	21015	68.9197	2	2.2933E+07	1.1087E+06	129.1376	159.3	191	456	Unknown, beam-type collision-induced dissociation-MSn
0	21016	68.9220	2	7.5741E+06	628974	110.0716	216.3	192	543	Unknown, beam-type collision-induced dissociation-MSn
0	21017	68.9243	2	7.7579E+06	619822	264.134	182.7	183	444	Unknown, beam-type collision-induced dissociation-MSn
0	21018	68.9266	2	9.1896E+06	721253	262.1508	229.1	240	658	Unknown, beam-type collision-induced dissociation-MSn
0	21019	68.9289	2	1.0244E+07	542218	130.1411	178.5	238	636	Unknown, beam-type collision-induced dissociation-MSn
0	21020	68.9318	1	9.95E+09	5.3985E+08	414.5145	242.5	759	759	MS
0	21021	68.9362	2	3.3749E+07	2.4088E+06	404.2339	276.9	280	734	Unknown, beam-type collision-induced dissociation-MSn
0	21022	68.9385	2	1.1319E+07	567118	358.2285	183.4	235	599	Unknown, beam-type collision-induced dissociation-MSn
0	21023	68.9408	2	1.5742E+07	796746	130.141	244.4	239	612	Unknown, beam-type collision-induced dissociation-MSn
0	21024	68.9430	2	1.2934E+07	672442	376.2754	185.5	265	725	Unknown, beam-type collision-induced dissociation-MSn
0	21025	68.9453	2	1.5133E+07	697445	131.1381	194.9	270	694	Unknown, beam-type collision-induced dissociation-MSn
