Reporter_Ion	NonZeroCount_Top80Pct	Median_Top80Pct	InterQuartileRange_Top80Pct	LowerWhisker_Top80Pct	UpperWhisker_Top80Pct	NumberOfOutliers_Top80Pct
Ion_126.128 	34998                	102081         	189604                     	1716                 	514648               	3800                     
Ion_127.125 	35190                	88445          	145209                     	219                  	402799               	3670                     
Ion_127.131 	35366                	122585         	207363                     	556                  	570729               	3663                     
Ion_128.128 	35154                	118318         	216751                     	325                  	586712               	3685                     
Ion_128.134 	35275                	139556         	249910                     	123                  	677992               	3506                     
Ion_129.131 	35455                	159705         	272409                     	967                  	748135               	3536                     
Ion_129.138 	35455                	121449         	181438                     	325                  	512228               	3577                     
Ion_130.135 	35312                	116920         	200643                     	406                  	549571               	3474                     
Ion_130.141 	35416                	148500         	251020                     	90                   	691991               	3688                     
Ion_131.138 	35262                	89470          	139068                     	971                  	389266               	3690                     
Ion_131.144 	35222                	90058          	156782                     	8                    	430407               	3785                     
Ion_132.142 	35026                	81427          	145182                     	566                  	398241               	3972                     
Ion_132.148 	15317                	2097           	5121                       	0                    	13454                	1950                     
Ion_133.145 	1638                 	1489           	2227                       	2                    	6174                 	181                      
Ion_133.151 	72                   	1360           	2557                       	76                   	6114                 	4                        
Ion_134.148 	15                   	4071           	2191                       	1475                 	6548                 	1                        

Reporter_Ion	NonZeroCount         	Median         	InterQuartileRange         	LowerWhisker         	UpperWhisker         	NumberOfOutliers         
Ion_126.128 	42030                	78348          	164435                     	1657                 	438756               	4530                     
Ion_127.125 	42645                	68952          	128292                     	219                  	348029               	4366                     
Ion_127.131 	43109                	94463          	183865                     	184                  	493534               	4404                     
Ion_128.128 	42457                	89884          	192708                     	325                  	510809               	4338                     
Ion_128.134 	42704                	106756         	220827                     	123                  	586417               	4198                     
Ion_129.131 	43473                	121467         	239472                     	241                  	642002               	4265                     
Ion_129.138 	43520                	95033          	163386                     	81                   	447274               	4251                     
Ion_130.135 	42809                	90637          	177243                     	406                  	473697               	4134                     
Ion_130.141 	43436                	114054         	219980                     	90                   	591878               	4431                     
Ion_131.138 	42975                	69834          	124899                     	450                  	340327               	4327                     
Ion_131.144 	42669                	69916          	137199                     	8                    	368984               	4524                     
Ion_132.142 	42226                	63986          	126584                     	566                  	340759               	4707                     
Ion_132.148 	17989                	1686           	4327                       	0                    	11326                	2262                     
Ion_133.145 	1767                 	1496           	2154                       	2                    	6067                 	187                      
Ion_133.151 	82                   	1520           	2470                       	76                   	6114                 	4                        
Ion_134.148 	19                   	3544           	1755                       	1475                 	6548                 	1                        
