Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw
0	7396	38.36167	2	5038.2	436.71	833.235	36.47	55	220
0	7397	38.3675	2	2938.1	1023	603.244	107.5	20	99
0	7398	38.3735	2	3277	443.78	660.578	39.78	30	127
0	7399	38.37933	2	1184.5	151.58	647.057	17.97	14	87
0	7400	38.38533	1	979187	95572	870.517	258.6	1200	1200
0	7401	38.38983	2	31409	2720	915.43	103.8	133	403
0	7402	38.3955	2	31948	14829	657.333	971	64	198
0	7403	38.40133	2	8678.6	1565	175.009	115.7	43	143
0	7404	38.40733	2	5416.4	721.75	421.22	65.63	42	172
0	7405	38.41333	2	37290	3362.7	916.418	121.8	152	452
0	7406	38.41917	2	2091.9	318.45	420.652	36.78	28	82
0	7407	38.42484	2	1825.9	155.54	472.719	15.02	26	100
0	7408	38.43083	2	3630.4	552.48	647.297	54.8	30	112
0	7409	38.43683	2	1874.5	649.62	857.423	81.93	11	39
0	7410	38.4425	2	2016.4	145.81	421.365	17.5	31	110
0	7411	38.4485	1	2.0445E+06	467298	933.528	900.6	1336	1336
0	7412	38.45284	2	36384	19510	827.45	1268	46	143
0	7413	38.45867	2	11884	2235.1	689.338	148.1	66	225
0	7414	38.46467	2	29631	3081.3	918.4	120.9	135	449
0	7415	38.4705	2	10404	2454.7	898.224	238.5	34	131
0	7416	38.47617	2	16186	5280.1	927.322	516.1	31	113
0	7417	38.482	2	9183.4	4132	933.389	453.9	22	78
0	7418	38.48783	2	25252	8932.6	828.469	733.2	50	139
0	7419	38.49367	2	13807	1936.1	590.289	104	52	177
0	7420	38.49967	2	10337	3636.1	490.198	423.4	27	97
0	7421	38.50583	2	18131	10006	885.426	811.4	64	250
0	7422	38.5115	1	3.5026E+06	1.2444E+06	933.576	1900	1188	1188
0	7423	38.51617	2	9532.3	3590.5	464.476	325.4	40	125
0	7424	38.52217	2	7655.5	2608.6	472.203	197.2	36	128
0	7425	38.528	2	818.39	74.522	1080.12	8.092	11	63
0	7426	38.53383	2	9957	3600.6	886.487	349.3	48	198
0	7427	38.53967	2	21975	4963.5	689.268	278.7	93	273
0	7428	38.54567	2	13393	2465.3	690.332	153.6	84	271
0	7429	38.55167	2	3049.6	1094.6	647.251	105.6	28	107
0	7430	38.5575	2	194.44	66.245	933.538	6.925	3	13
0	7431	38.563	2	4012.2	1227.9	707.318	97.53	30	92
0	7432	38.569	2	7533.5	437.59	898.365	32.29	64	263
0	7433	38.57483	1	4.2783E+06	1.5599E+06	933.595	2313	1199	1199
0	7434	38.57917	2	3519.8	1365.9	603.173	136	22	112
0	7435	38.58517	2	8673.8	568.55	897.335	42.48	66	245
0	7436	38.591	2	11849	2687.9	547.266	231.9	40	184
0	7437	38.59683	2	2122.7	463.46	638.155	57.89	31	112
0	7438	38.60283	2	4568.4	846.04	658.364	78.8	33	142
0	7439	38.60867	2	14190	3700.3	943.287	344.4	38	137
0	7440	38.6145	2	5339.9	1139.5	866.413	100.9	45	151
0	7441	38.6205	2	30592	4034	793.191	266.3	133	458
0	7442	38.62634	2	4128.6	669.07	672.417	68.37	47	183
0	7443	38.63233	2	4281.3	472.4	409.125	31.65	28	120
0	7444	38.638	1	3.7462E+06	1.3380E+06	933.533	2055	1143	1143
0	7445	38.64267	2	6025.9	894.27	657.34	81.58	44	154
0	7446	38.6485	2	5385.4	595.18	457.317	47.43	36	139
0	7447	38.6545	2	6803.7	481.85	745.472	44.31	63	284
0	7448	38.6605	2	3029	376.04	573.279	40.97	31	108
0	7449	38.6665	2	3443.2	730.23	947.373	87.62	24	69
0	7450	38.67233	2	1978.3	159.43	513.41	19.55	31	105
0	7451	38.67833	2	1166.2	231.15	537.16	26.53	15	61
0	7452	38.68433	2	452.37	62.789	1040.75	9.039	8	43
0	7453	38.69	2	1287.1	190.4	607.542	18	13	72
0	7454	38.696	2	2445.9	334.03	444.081	29.45	24	99
0	7455	38.70183	1	2.7061E+06	806824	933.512	1338	1204	1204
0	7456	38.70667	2	40383	16496	885.444	1121	103	351
0	7457	38.7125	2	7421.5	851.27	802.473	66	70	272
0	7458	38.7185	2	4277.7	370.86	940.464	37.75	51	200
0	7459	38.724	2	5772.8	903.02	174.984	88.6	43	145
0	7460	38.73	2	1167.1	158.98	539.203	20.07	21	88
0	7461	38.736	2	239.12	47.709	971.395	4.73	4	17
0	7462	38.7415	2	2750	192.47	454.221	19.55	35	147
0	7463	38.74733	2	2803.6	1356.1	883.357	150	16	77
0	7464	38.75317	2	5406.3	2312.3	883.398	240.5	23	134
0	7465	38.759	2	5803.7	859.9	591.277	70.24	47	168
0	7466	38.765	1	2.4763E+06	706665	933.536	1355	1238	1238
