Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
0	35	820.5191	7334	7340	7323	-1	0	7301	7378	7323	2836.2	0.7067	37	161340	2085.9	4013.3	3525	27	108135	7323	12.4	-0.0958	0.3727	5
0	36	949.7148	7334	7341	7323	-1	0	7301	7367	7323	3357.4	1.958	15	128171	2042.3	1714.8	805	9	21378	7325	9.18	-0.1464	0.4559	5
0	37	780.9426	7334	7342	7334	-1	0	7301	7367	7334	2384.3	1.537	11	103483	1333.1	1550.8	740	27	64623	7334	12.8	-0.1018	0.3727	5
0	38	829.5269	7334	7343	7323	-1	0	7301	7389	7323	1907.9	1.515	72	158702	1866.3	1259.1	680	27	27797	7329	15.5	0.0381	0.331	8
0	39	1788.4672	7334	7344	7323	-1	0	7301	7433	7323	598.12	1.51	87	61121	399.05	396.12	509	27	8415.6	7330	16.5	0.2884	0.3	9
0	40	793.5905	7345	7346	7323	-1	0	7301	7389	7323	37307	3.341	11	989736	8217.4	11166	8613	18	146351	7329	11.2	0.0023	0.3942	6
0	41	499.3313	7345	7347	7345	-1	0	7301	7444	7345	3111	2.702	17	169395	3026.5	1151.5	829	18	30042	7344	14.5	0.0882	0.3351	7
0	42	670.6388	7345	7348	7345	-1	0	7345	7389	7345	3772.4	2.295	6	87843	3342.9	1643.5	1660	27	142636	7341	12.1	0.3123	0.4651	5
0	43	785.5142	7345	7349	7323	-1	0	7301	7433	7323	2069.6	1.831	39	191190	1749.5	1130.5	548	27	37390	7329	16.5	0.0596	0.3143	8
0	44	702.2778	7345	7350	7323	-1	0	7301	7389	7323	6501.7	3.292	13	228738	1843.9	1975.1	1468	27	63022	7324	13.7	-0.0816	0.3793	7
0	45	859.15	7345	7351	7378	-1	0	7301	7455	7378	3804.5	2.13	84	360600	2036.3	1786.2	974	27	99443	7379	21.7	-0.0928	0.305	11
0	46	815.2681	7345	7352	7323	-1	0	7301	7389	7323	5120.6	3.576	20	226154	1651.2	1432	1376	18	91169	7326	16	0.086	0.3404	8
0	47	658.5154	7345	7353	7378	-1	0	7312	7444	7378	32920	6.712	31	1.2604E+06	4536.2	4904.6	8700	27	873472	7381	17.5	-0.0502	0.3437	9
0	48	581.3989	7345	7354	7345	-1	0	7301	7378	7345	2519.3	1.073	43	191150	2181.9	2348.3	900	27	3798.8	7342	8.32	0.2302	0.4073	5
0	49	892.2719	7345	7355	7378	-1	0	7312	7444	7378	18400	4.884	30	809378	3967.3	3767.7	5262	27	460799	7381	16.6	0.0398	0.3465	8
0	50	801.5603	7356	7357	7356	-1	0	7356	7389	7356	24733	0.6511	3	431288	13217	37986	23537	27	563084	7354	6.27	0.2818	0.6523	3
0	51	658.3972	7356	7358	7378	-1	0	7312	7444	7378	32920	6.712	31	1.2604E+06	7556.1	4904.6	8700	27	873472	7381	17.5	-0.0502	0.3437	9
0	52	891.65	7356	7359	7378	-1	0	7312	7444	7378	21602	5.414	28	852344	6171.2	3990	5875	27	501463	7381	16.3	0.0525	0.3432	8
0	53	675.5268	7356	7360	7345	-1	0	7301	7378	7345	920.55	1.368	43	70171	1914.3	672.74	588	27	11775	7354	16.3	-0.0246	0.3374	8
0	54	907.3221	7356	7361	7378	-1	0	7312	7433	7378	4672.2	3.025	37	256684	3035.4	1544.5	1619	27	118455	7377	15.8	-0.1074	0.3178	8
0	55	522.502	7356	7362	7334	-1	0	7301	7389	7334	2188.2	1.739	37	148088	1660.6	1258.5	694	18	21831	7336	14.9	0.1127	0.3312	8
0	56	923.3713	7356	7363	7378	-1	0	7301	7444	7378	6270.9	3.246	31	391550	3202.9	1932	1797	27	161517	7379	18	-0.0713	0.3379	9
0	56	923.3713	7356	7364	7378	-1	0	7301	7444	7378	6270.9	3.246	31	391550	3202.9	1932	1797	27	161517	7379	18	-0.0713	0.3379	9
0	57	432.1611	7356	7365	7378	-1	0	7312	7455	7378	7492	5.286	37	363391	6264.8	1417.2	2330	27	236736	7380	17.8	-0.0372	0.337	9
0	58	857.3815	7356	7366	7400	-1	0	7301	7466	7400	3544.7	2.91	55	281371	2452.3	1218	1062	27	105886	7397	19.8	-0.1149	0.3257	10
0	59	454.486	7367	7368	7378	-1	0	7312	7444	7378	5220.4	4.45	36	255888	5431	1173	1530	27	149435	7379	17.5	-0.0178	0.3335	9
0	60	432.3013	7367	7369	7378	-1	0	7312	7455	7378	7492	5.286	37	363391	7858.2	1417.2	2330	27	236736	7380	17.8	-0.0372	0.337	9
0	61	576.4966	7367	7370	7334	-1	0	7301	7389	7334	5775.9	1.407	35	422864	3777.8	4104.2	1325	27	33835	7331	10.9	-0.0947	0.3983	6
0	62	894.5613	7367	7371	7389	-1	0	7301	7422	7389	5097	1.322	11	288780	3608.3	3856.6	3414	27	147415	7390	12.9	-0.1328	0.3727	5
0	63	640.4073	7367	7372	7378	-1	0	7301	7444	7378	4132.4	4.275	29	198595	3613.5	966.75	988	27	88362	7379	17.4	-0.0097	0.3326	9
0	64	1144.5726	7367	7373	7378	-1	0	7301	7455	7378	1961.5	1.81	92	232819	2168.5	1083.8	775	27	54222	7379	22.4	-0.0239	0.3042	11
0	65	560.3426	7367	7374	7378	-1	0	7301	7433	7378	4548.8	3.796	23	216128	3836.7	1198.4	1029	27	82183	7374	17.1	-0.0363	0.3169	8
0	66	648.4338	7367	7375	7378	-1	0	7367	7389	7378	6371.4	0.73	22	148152	5727.7	8727.9	11494	27	73514	7376	6.56	0.3293	0.6914	3
0	67	1929.8718	7367	7376	7378	-1	0	7323	7433	7378	901.04	2.403	45	55640	1066.8	374.99	497	27	23248	7378	16.2	0.0102	0.3185	9
0	68	930.5524	7367	7377	7378	-1	0	7301	7433	7378	1237.3	1.868	53	120203	1284	662.48	636	27	25148	7376	15.9	-0.1249	0.3696	8
0	69	851.3712	7378	7379	7367	-1	0	7301	7433	7367	13771	2.895	21	799259	6833.2	4756.2	2915	27	217728	7375	20.9	0.4378	0.2875	10
0	70	658.4382	7378	7380	7378	-1	0	7312	7444	7378	32920	6.712	31	1.2604E+06	32490	4904.6	8700	27	873472	7381	17.5	-0.0502	0.3437	9
0	71	648.4237	7378	7381	7378	-1	0	7378	7389	7378	6071.7	0.6957	11	84699	5636.6	8727.9	11494	27	73514	7376	6.56	0.3293	0.6914	3
0	72	1009.6012	7378	7382	7378	-1	0	7323	7444	7378	6005.5	5.42	16	208448	5252.4	1108	1218	27	79829	7383	16.7	0.0717	0.3143	8
0	73	543.4031	7378	7383	7378	-1	0	7301	7400	7378	3407.7	2.845	20	123069	2855.9	1197.6	1107	27	29798	7381	14.5	-0.1894	0.3751	7
0	74	913.4625	7378	7384	7389	-1	0	7301	7477	7389	2050.8	1.946	94	240855	2582.9	1053.9	790	27	58709	7388	21.3	0.0533	0.2961	11
0	75	929.5676	7378	7385	7378	-1	0	7301	7444	7378	2863.3	3.421	46	175330	3055.9	837.02	814	27	73399	7381	18.2	-0.0993	0.3326	9
0	76	414.3463	7378	7386	7378	-1	0	7301	7422	7378	2666.2	2.509	86	179163	3226.2	1062.5	900	27	55015	7376	18.6	0.1064	0.3	9
0	77	1069.4288	7378	7387	7411	-1	0	7345	7587	7411	6076.8	3.68	40	456437	2808	1651.3	1637	27	181232	7417	20.3	0.0437	0.3045	10
0	78	770.3392	7378	7388	7378	-1	0	7301	7587	7378	2627.8	3.436	19	227744	1979.1	764.82	579	27	31553	7376	19.2	-0.0958	0.3251	10
0	79	513.4269	7389	7390	7378	-1	0	7301	7466	7378	44445	1.814	46	5.2384E+06	48682	24495	10653	27	1.2446E+06	7375	24.2	0.0626	0.3077	11
0	80	535.5528	7389	7391	7400	-1	0	7301	7477	7400	6457.9	2.194	94	719555	5724.4	2943.9	2064	27	201559	7400	21	-0.2454	0.3231	10
0	81	757.4815	7389	7392	7422	-1	0	7356	7477	7422	16008	2.832	34	1.0322E+06	5935.2	5651.4	4470	27	414625	7422	18.2	0.1083	0.3	9
0	82	604.4338	7389	7393	7444	-1	0	7301	7587	7444	3712	1.691	94	653947	2925.5	2195	680	27	75381	7441	28.6	-0.0548	0.279	14
0	83	660.4015	7389	7394	7389	-1	0	7323	7444	7389	2857.6	3.53	19	124745	2385.4	809.51	706	27	45513	7386	15.5	-0.051	0.3565	8
0	84	515.5474	7389	7395	7378	-1	0	7301	7466	7378	2414.8	1.685	81	280001	2184.3	1433	604	27	38897	7383	22.1	0.0353	0.2979	10
0	85	851.5758	7389	7396	7367	-1	0	7301	7433	7367	13771	2.895	21	799259	5001.8	4756.2	2915	27	217728	7375	20.9	0.4378	0.2875	10
0	86	621.3425	7389	7397	7444	119	0	7389	7587	7455	3798	2.072	43	399398	1849	1832.9	739	27	59729	7457	22.2	0.0727	0.283	11
0	87	874.5014	7389	7398	7389	-1	0	7334	7444	7389	2364.4	2.999	12	92413	1226.9	788.29	712	18	19373	7388	13.4	0.021	0.3616	7
