Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
667076	50	686.368	0	17	34337	-1	0	33787	34689	34337	17260	240	136	2.6435E+06	0	71.919	232	1647	2.5213E+06	34342	53.8	-0.05623	0.2644	13	0
667076	51	686.368	0	17	34337	-1	0	33919	35085	34337	6490.9	216.1	148	1.0511E+06	0	30.043	95	1649	1.0175E+06	34343	57.6	0.04866	0.2586	14	0
667076	52	686.368	0	17	34337	-1	0	33941	34865	34337	16777	1009	137	2.5012E+06	0	16.635	108	1649	2.4854E+06	34344	54.2	-0.01602	0.2575	13	0
667076	53	734.869	0	18	28464	-1	0	28134	28948	28464	2334	99.63	122	360845	0	23.428	61	1466	324272	28459	53.6	0.1289	0.2575	13	0
667076	54	734.869	0	18	27870	-1	0	27100	28508	27870	1535.9	233	209	238197	0	6.5921	23.3	1449	209039	27890	84.5	-0.09041	0.2209	20	0
667076	55	734.869	0	18	27782	-1	0	27364	28200	27782	589.8	172.9	306	110297	0	3.4103	12.8	1449	106009	27869	102	0.02863	0.292	21	0
667076	56	773.417	0	19	21227	-1	0	20875	21601	21227	12593	284.5	68	1.1443E+06	0	44.263	127	1251	1.0856E+06	21228	43.7	-0.04202	0.3038	11	0
667076	57	773.417	0	19	24241	-1	0	23933	24615	24241	2165.9	509.4	89	198003	0	4.2521	17.4	1345	199705	24245	42.9	-0.02175	0.3013	11	0
667076	58	773.417	0	19	24241	-1	0	23867	24725	24241	2105.6	549.4	97	229068	0	3.8323	16.2	1344	235016	24235	43.3	0.0412	0.2936	11	0
667076	59	774.445	0	20	39224	-1	0	38696	39598	39224	1140.6	124.6	124	168882	0	9.1533	46.6	1791	163342	39223	53	-0.06032	0.2816	13	0
667076	60	774.445	0	20	39224	-1	0	38828	39576	39224	3673.8	284.9	138	561174	0	12.895	59.3	1797	539695	39226	54.4	-0.1042	0.2776	13	0
667076	61	774.445	0	20	39224	-1	0	38718	39598	39224	6157.7	559.6	113	817130	0	11.004	61.6	1797	789514	39227	56.3	-0.08543	0.2602	13	0
667076	62	783.368	0	21	25959	-1	0	25563	26443	25959	62652	1331	109	7.8052E+06	0	47.086	310	1396	7.8992E+06	25950	48	0.01458	0.2765	12	0
667076	63	783.368	0	21	21977	-1	0	21669	22285	21977	3116.3	582.8	45	167839	0	5.3475	16.9	1276	179592	21983	40.1	0.03625	0.3093	10	0
667076	64	783.368	0	21	21977	-1	0	21669	22307	21977	2199	1134	58	159367	0	1.9385	7.13	1277	165353	21984	40.2	0.01751	0.3113	10	0
667076	65	849.428	0	22	27390	-1	0	26884	27896	27390	20496	1526	84	1.8586E+06	0	13.434	75.2	1439	1.895E+06	27385	43.8	0.01973	0.2958	11	0
667076	66	849.428	0	22	27390	-1	0	26906	27896	27390	6721	1445	77	557314	0	4.652	24.1	1441	567953	27387	45.7	0.03388	0.2853	11	0
667076	67	849.428	0	22	27390	-1	0	27016	27874	27390	7730	2904	64	584613	0	2.662	22.8	2762	604573	27388	43.7	0.01203	0.2994	11	0
