Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
667076	1	0.0046	2	2.8189	0.94606	599.354	0.9461	3	3	CID-SRM
667076	2	0.0055	2	2.8866	0.96559	724.397	0.9656	3	3	CID-SRM
667076	3	0.0065	2	2.795	0.93972	511.323	0.9397	3	3	CID-SRM
667076	4	0.0074	2	2.813	0.96434	615.396	0.9643	3	3	CID-SRM
667076	5	0.0083	2	3.6579	0.93576	685.391	0.9358	4	4	CID-SRM
667076	6	0.0096	2	2.7321	0.91732	607.377	0.9173	3	3	CID-SRM
667076	7	0.0105	2	2.7364	0.92364	383.743	0.9236	3	3	CID-SRM
667076	8	0.0115	2	3.6397	0.93814	723.882	0.9381	4	4	CID-SRM
667076	9	0.0127	2	2.801	0.95213	560.2889	0.9521	3	3	CID-SRM
667076	10	0.0137	2	2.7571	0.93655	694.88	0.9366	3	3	CID-SRM
667076	11	0.0146	2	2.6997	0.93911	213.16	0.9391	3	3	CID-SRM
667076	12	0.0156	2	2.7494	0.93035	510.784	0.9303	3	3	CID-SRM
667076	13	0.0165	2	2.7472	0.94593	890.5189	0.9459	3	3	CID-SRM
667076	14	0.0174	2	2.8203	0.94557	724.397	0.9456	3	3	CID-SRM
667076	15	0.0184	2	2.7717	0.94491	540.8109	0.9449	3	3	CID-SRM
667076	16	0.0193	2	2.7722	0.94772	763.459	0.9477	3	3	CID-SRM
667076	17	0.0203	2	2.8956	0.97836	1072.566	0.9784	3	3	CID-SRM
667076	18	0.0212	2	2.9098	1.0009	345.14	1.001	3	3	CID-SRM
667076	19	0.0222	2	2.8168	0.95312	426.27	0.9531	3	3	CID-SRM
667076	20	0.0231	2	2.8829	0.97751	1030.098	0.9775	3	3	CID-SRM
667076	21	0.0241	2	2.8515	0.99931	1219.5291	0.9993	3	3	CID-SRM
667076	22	0.0250	2	2.8097	0.96947	1131.542	0.9695	3	3	CID-SRM
667076	23	0.0262	2	2.7269	0.9218	599.354	0.9218	3	3	CID-SRM
667076	24	0.0272	2	2.8351	0.97965	510.266	0.9797	3	3	CID-SRM
667076	25	0.0281	2	2.7605	0.92617	511.323	0.9262	3	3	CID-SRM
667076	26	0.0290	2	2.9217	1.0089	615.396	1.008	3	3	CID-SRM
667076	27	0.0299	2	3.7803	0.97947	441.26	0.9795	4	4	CID-SRM
667076	28	0.0312	2	2.9345	0.98459	506.33	0.9846	3	3	CID-SRM
667076	29	0.0321	2	2.8503	1.0074	383.743	1.007	3	3	CID-SRM
667076	30	0.0331	2	3.7245	0.97713	667.34	0.9771	4	4	CID-SRM
667076	31	0.0344	2	2.7709	0.96325	429.248	0.9633	3	3	CID-SRM
667076	32	0.0353	2	2.7125	0.92614	694.88	0.9261	3	3	CID-SRM
667076	33	0.0362	2	2.6965	0.91837	972.4819	0.9184	3	3	CID-SRM
667076	34	0.0372	2	2.7461	0.92304	696.382	0.923	3	3	CID-SRM
667076	35	0.0381	2	2.7507	0.93886	890.5189	0.9389	3	3	CID-SRM
667076	36	0.0391	2	2.7521	0.9392	510.266	0.9392	3	3	CID-SRM
667076	37	0.0400	2	2.7084	0.90901	951.572	0.909	3	3	CID-SRM
667076	38	0.0409	2	2.7847	0.94898	519.338	0.949	3	3	CID-SRM
667076	39	0.0419	2	2.8257	0.95528	672.37	0.9553	3	3	CID-SRM
667076	40	0.0428	2	2.8913	0.97921	881.512	0.9792	3	3	CID-SRM
